file name,true label,folder
A Survey of Personalized News Recommendation,1,text
A Survey on Personalized News Recommendation Technology,1,text
AContextual-BanditApproachto Personalized News Article Recommendation,1,text
Adaptive News Access,1,text
AI-News_Personalization_System_Combining_Complete_Content_Characterization_and_Full_Term_Interest_Portrayal_in_the_Big_Data_Era,1,text
Algorithms and System Architecture for Immediate Personalized,1,text
An_adaptive_personalized_news_disseminat,1,text
Anadaptive system for the personalized access to news,1,text
Analyzing the News Coverage of Personalized Newspapers,1,text
DoNotReadtheSameNews!,1,text
Emotion-Provoking Personalization of News Informing Citizens and Closing the Knowledge Gap,1,text
Explanations of news personalisation across countries and,1,text
Exploiting Search History of Users for News Personalization,1,text
From Chatter to Headlines Harnessing the Real-Time Web for Personalized News Recommendation,1,text
Google News Personalization Scalable Online Collaborative Filtering,1,text
"Infotainment, cynicism and democracy The effects of privatization vs personalization in the news",1,text
"INTERESTED IN DIVERSITY The role of user attitudes, algorithmic feedback loops, and policy in news personalization",1,text
Knowyour algorithm what media organizations need to explain to their users about news personalization,1,text
Measuring Political Personalization of Google News Search,1,text
News Personalization using Support Vector Machines,1,text
News Personalization using the CF-IDF Semantic Recommender,1,text
NewsPersonalization and Public Service Media The Audience Perspective in Three European Countries,1,text
NPA Neural News Recommendation with,1,text
PersaLog Personalization of News Article Content,1,text
PERSONALIZATION AND THE FUTURE OF NEWS,1,text
Personalization of News,1,text
Personalized News Recommendation A Review and an Experimental Investigation,1,text
Personalized News Recommendation Based on Click,1,text
Personalized News Recommendation Methods and,1,text
Personalized news recommendation via implicit social experts,1,text
Personalized News Recommendation with Context Trees,1,text
"Personalized, Interactive News on the Web",1,text
Personalizing News Content An Experimental Study,1,text
Preface to the special issue on news personalization,1,text
Putting Personalization into Practice,1,text
Readers' Perceptions of Personalized News Articles,1,text
SCENE AScalable Two-Stage Personalized News Recommendation System,1,text
Selling News to Audiences– A Qualitative Inquiry,1,text
THE EFFECTS OF PERSONALIZATION ON PURCHASE INTENTIONS FOR ONLINE NEWS AN EXPERIMENTAL STUDY OF DIFFERENT PERSONALIZATION INCREMENTS,1,text
The Fishwrap Personalized News System,1,text
THE FUTURE OF PERSONALIZATION AT NEWS WEBSITES,1,text
The Krakatoa Chronicle An Interactive Personalized Newspaper on the Web,1,text
The Role of News Media Literacy in Predicting News Personalization and News Engagement,1,text
The Role of Structured Content in a Personalized News Service,1,text
Towards a News Recommendation System to increase Reader,1,text
User Interface Personalization in News Apps,1,text
"User Modeling, Adaption, and Personalization",1,text
User Perspectives on the News Personalisation Process Agency Trust and Utility as Building Blocks,1,text
User_attitudes_towards_news_content_pers,1,text
WhenPersonalization Is Not an Option An In-The-Wild Study on Persuasive News Recommendation,1,text
1-s2.0-S187705092102411X-main,0,textTwitter
16_24,0,textTwitter
18110-Article Text-21605-1-2-20210521,0,textTwitter
2002.10361v2,0,textTwitter
2003.12309v4,0,textTwitter
2004.02192v3,0,textTwitter
2020.acl-main.50,0,textTwitter
2023-42409,0,textTwitter
2104.06182v1,0,textTwitter
2105.09293v1,0,textTwitter
2109.09014v1,0,textTwitter
2206.11484v2,0,textTwitter
2208.09214v1,0,textTwitter
2211.05913v4,0,textTwitter
2231-Article Text-6806-1-10-20201030,0,textTwitter
2304.06588v1,0,textTwitter
2306.17538v1,0,textTwitter
2310.02521v1,0,textTwitter
2310.18911v1,0,textTwitter
2312.15040v1,0,textTwitter
2404.15925v1,0,textTwitter
2407.21041v1,0,textTwitter
2410.20543v1,0,textTwitter
3411764.345,0,textTwitter
3447535.346,0,textTwitter
3449152,0,textTwitter
3479594,0,textTwitter
3501247.353,0,textTwitter
3527152,0,textTwitter
512-2770-1-PB,0,textTwitter
6_surveyTwitterScienceDataModelGraphStructureSentimentAnalysisandAttacks_published,0,textTwitter
645_10593_SENTINET,0,textTwitter
7324-Article Text-10554-1-10-20200601,0,textTwitter
AC-Ruz-Henriquez-Mascareno-2020-Sentiment-Analysis,0,textTwitter
Analyzing_COVID_Related_Social_Discourse_on_Twitter,0,textTwitter
Combatting Misinformation_ Effective Twitter Responses to The Rem,0,textTwitter
Damarta_2021_J._Phys.__Conf._Ser._1722_012002,0,textTwitter
div-class-title-politicians-unleashed-political-communication-on-twitter-and-in-parliament-in-western-europe-div,0,textTwitter
huszár-et-al-2021-algorithmic-amplification-of-politics-on-twitter,0,textTwitter
index,0,textTwitter
IRJASH_Volume+02_Issue+Special+Issue+ICSTM+12S_Pages+56-61,0,textTwitter
IRJET_Twitter_Sentiment_Analysis_using_T,0,textTwitter
kermani-adham-2021-mapping-persian-twitter-networks-and-mechanism-of-political-communication-in-iranian-2017,0,textTwitter
mosleh-et-al-2021-shared-partisanship-dramatically-increases-social-tie-formation-in-a-twitter-field-experiment,0,textTwitter
PIIS240584402202182X,0,textTwitter
research-report-bias-on-twitter-against-asians-blacks-jews-latinos-muslims-final,0,textTwitter
s41598-020-58166-5,0,textTwitter
ssrn-3149103,0,textTwitter
text2story,0,textTwitter
the-vibes-are-off-did-elon-musk-push-academics-off-twitter,0,textTwitter
1-s2.0-0042698995001301-main_00001.txt,2,imageBasedPosition
1-s2.0-026151779190045U-main_00001.txt,2,imageBasedPosition
1-s2.0-S0030402604702442-main_00001.txt,2,imageBasedPosition
1-s2.0-S0888327016300127-main_00001.txt,2,imageBasedPosition
1-s2.0-S2405631622000884-main_00001.txt,2,imageBasedPosition
1998_lncis_chaumette_00001.txt,2,imageBasedPosition
2006_itro_pages_00001.txt,2,imageBasedPosition
2011_indoorpositioningmovips_werner_00001.txt,2,imageBasedPosition
201221-clean-Image-basedoccupancypositioningsystem_00001.txt,2,imageBasedPosition
A critical review for machining positioning based on computer vision_00001.txt,2,imageBasedPosition
AR-based_Evacuation_Route_Guidance_System_in_Indoor_Fire_Environment_00001.txt,2,imageBasedPosition
A_Novel_Visual_Indoor_Positioning_Method_With_Efficient_Image_Deblurring_00001.txt,2,imageBasedPosition
Accurate particle position measurement from images_00001.txt,2,imageBasedPosition
An_Improved_Vision-Based_Indoor_Positioning_Method_00001.txt,2,imageBasedPosition
An_image-based_indoor_positioning_for_digital_museum_applications_00001.txt,2,imageBasedPosition
Assessing Image Features for Vision-Based Robot Positioning_00001.txt,2,imageBasedPosition
Characterization_of_a_real_time_surface_00001.txt,2,imageBasedPosition
Cloud-Based_Positioning_Method_with_Visualized_Signal_Images_00001.txt,2,imageBasedPosition
Delletal_MS_no comments_00001.txt,2,imageBasedPosition
Diffusion_tensor_imaging_to_tumor_00001.txt,2,imageBasedPosition
Direct atomic fabrication and dopant positioning in Si using electron beams with active real-time image-based feedback_00001.txt,2,imageBasedPosition
From_Wireless_Positioning_to_Mobile_Positioning_An_Overview_of_Recent_Advances_00001.txt,2,imageBasedPosition
ImPos- An Image-Based Indoor Positioning System_00001.txt,2,imageBasedPosition
Image-Based Positioning of Mobile Devices in Indoor Environments_00001.txt,2,imageBasedPosition
Image-based navigation improves the positioning of the humeral component in total elbow arthroplasty_00001.txt,2,imageBasedPosition
Image-based-indoor-positioning-system-Fast-image-matching-using-omnidirectional-panoramic-images_00001.txt,2,imageBasedPosition
Image-guided Positioning and Tracking_00001.txt,2,imageBasedPosition
Image_Sensor_Based_Visible_Light_Positioning_System_With_Improved_Positioning_Algorithm_00001.txt,2,imageBasedPosition
Image_based_visual_servoing_for_robot_po_00001.txt,2,imageBasedPosition
Improving_the_accuracy_of_image-based_forest_fire__00001.txt,2,imageBasedPosition
Indoor_Positioning_Based_on_Fingerprint-Image_and_Deep_Learning_00001.txt,2,imageBasedPosition
Integrated-position-estimation-using-aerial-image-sequences_00001.txt,2,imageBasedPosition
Light-Based_Indoor_Positioning_Systems_A_Review_00001.txt,2,imageBasedPosition
Machine_Vision-Based_Positioning_and_Inspection_Using_ExpectationMaximization_Technique_00001.txt,2,imageBasedPosition
PIIS2352396423002633_00001.txt,2,imageBasedPosition
Radar_Image-Based_Positioning_for_USV_Under_GPS_Denial_Environment_00001.txt,2,imageBasedPosition
Semantic_and_Context_Based_Image_Retrieval_Method_Using_a_Single_Image_Sensor_for_Visual_Indoor_Positioning_00001.txt,2,imageBasedPosition
The effects of rectification and Global Positioning System errors on satellite image-based estimates of forest area_00001.txt,2,imageBasedPosition
The_MPEG7_Visual_Search_Solution_for_ima_00001.txt,2,imageBasedPosition
Vision-based_location_positioning_using_augmented_reality_for_indoor_navigation_00001.txt,2,imageBasedPosition
Vision-based_robot_positioning_using_neural_networ_00001.txt,2,imageBasedPosition
Visual_Indoor_Positioning_Method_Using_Image_Database_00001.txt,2,imageBasedPosition
ankit-rahul-ryan_00001.txt,2,imageBasedPosition
ijgi-10-00402_00001.txt,2,imageBasedPosition
iros99d_00001.txt,2,imageBasedPosition
its17_00001.txt,2,imageBasedPosition
mautz_survey_optical2011_00001.txt,2,imageBasedPosition
out_00001.txt,2,imageBasedPosition
remotesensing-12-00869-v3_00001.txt,2,imageBasedPosition
sensors-16-00783_00001.txt,2,imageBasedPosition
sensors-18-02692-v2_00001.txt,2,imageBasedPosition
visual servoing- a possible solution to improve image-based and position-based visual servoings_00001.txt,2,imageBasedPosition
3D LiDAR and multi-technology collaboration for preservation of built.txt,3,indoorPositionInCultureHeritage
